"SL No.","UPC Code","Item Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
691,11710282275500,"Capsicum Red Kg",440,550,"Euro Fresh Ltd",0,0
692,11710282275600,"Capsicum Yellow Kg",440,550,"Euro Fresh Ltd",0,0
693,6938239270120,"Card Holder",140,200,Katumia_Sons,0,0
694,9556202803594,"care hand cleanser 500ml",196,240,"Q  Q TRADING LTD",0,0
695,4971850134879,"CASIO FX-100MS",220,350,Katumia_Sons,0,0
696,4971850900726,"CASIO FX-991ES Plus",420,680,"M A Marketing",0,0
697,5017848253647,"Castor oil B.P 70ml",92.5,150,"UNION BD CONSUMER LTD",0,0
698,8901542013508,"CCOMPLAIN 350G",220,360,"TRANSCOM  CONSUMER PRODUCT",0,0
699,8944000195576,"Center Fresh 20gm",10,15,"Al-Madina Pvt Ltd",0,0
700,8944000195804,"Center Fruit 20 gm",10,15,,0,0
701,8941100293812,"CERELAC WHET & VEGETABLES WITH CHICKEN ",377,400,"Nestle BD LTD",0,0
702,8885009979876,"CG Classic pour homme100ml ",675,810,"Banijjo international",0,0
703,8885009975052,"Cg love elixir christian gautier 80ml ",640,770,"Banijjo international",0,0
704,11708131970700,"Chain OF000351",210,350,"Home Plus Own Collection",0,0
705,11708131970800,"Chain OF000352",215,390,"Home Plus Own Collection",0,0
706,8941100500361,"Chaka Advanced Smartest Ever Formulation 1000gm",59.5,60,"SQUARE TOILETRIES LIMITED",0,0
707,8941100500354,"Chaka Advanced Smartest Ever Formulation 500 gm",29.56,32,"SQUARE TOILETRIES LIMITED",0,0
708,8941100501443,"Chaka Ball Saban 130 gm",12.59,14,"SQUARE TOILETRIES LIMITED",0,0
709,8941100501337,"Chaka Supper White 1000 gm",87.08,95,"SQUARE TOILETRIES LIMITED",0,0
710,8941100501320,"Chaka Supper White 500 gm",44,50,"SQUARE TOILETRIES LIMITED",0,0
711,11708262085300,"Chal Kumra Kg",30,35,,0,0
712,8941100501238,"Chamak Fabric Brightner 100 ml",26.5,30,"SQUARE TOILETRIES LIMITED",0,0
713,8941100501221,"Chamak Fabric Brightner 50ml",15,18,"SQUARE TOILETRIES LIMITED",0,0
714,846656000571,"Champion Biscuit",8.5,10,"Pran Company Ltd",0,0
715,8941100512104,"Chashi Chinigura Chal 1Kg",95,110,"Square Food and Beverage Ltd",0,0
716,8941100512111,"Chashi Chinigura Chal 2KG",190,212,"Square Food and Beverage Ltd",0,0
717,8941100512128,"Chashi Chinigura Chal 5kg",480,510,"Square Food and Beverage Ltd",0,0
718,11708202062300,"Chata C00001",0,0,"Home Plus Own Collection",0,0
719,11708202062400,"Chata C00002",0,0,"Home Plus Own Collection",0,0
720,4897033224260,"Cherir chocolat",135,170,"Home Plus Own Collection",0,0
721,11708252082300,"Chichinga KG",35,40,,0,0
722,11711092285100,"Chicken Rool Pcs ",20,25,"Roshmela food products",0,0
723,8944000528350,"chifon plain cake ",4,5,"Star Line Food Product Ltd",0,0
724,21708091732200,"Chilli Powder 200g",0,0,Aponjon,0,0
725,8901512540409,"Chilli Surprise Pocpon 40g",16.38,20,"TRANSCOM BEVERAGES LTD",0,0
726,11710242268800,"China Badam Loose Kg",100,150,"Home Plus Own Collection",0,0
727,11708252078500,"Chini Loose Kg",50,55,,0,0
728,11708252081300,"chinigura rice kg",72,85,,0,0
729,8850305320264,"Choc Coin 168 gm",0,0,"Al-Madina Pvt Ltd",0,0
730,8992952924669,"choco  chocolate venilla cup ",33,50,"Home Plus Own Collection",0,0
731,846656017128,"choco bean toffe ",30,50,"Pran Company Ltd",0,0
732,841165102655,"choco bean toffe 100gm",36.6,60,"Pran Company Ltd",0,0
733,846656002742,"Choco Bean toffee",15,25,"Pran Company Ltd",0,0
734,8941114000291,"Chocoberry 10 gm box",95,120,globe,0,0
735,8941114000215,"Chocoberry 10gm",3.95,5,"GLOBE BISCUITS and DAIRY MI",0,0
736,186002000702,"Chocobig  Chocolate biscuit 5 Pack inside ",80,100,"Romania food and bevarage",0,0
737,11709152135100,"Chocolate  Flavour Candy coin 56g",0,0,"Al-Madina Pvt Ltd",0,0
738,11709222157700,"CHOLA  boter dal astho kg ",73.1,85,"HOME BRAND",0,0
739,11711042280100,"CHOLA boter dal kg ",78,95,"HOME BRAND",0,0
740,8941100515167,chopstick,58,66,"Square Food and Beverage Ltd",0,0
741,8941100515174,"Chopstick instant Noodles 496 gm",120,130,"Square Food and Beverage Ltd",0,0
742,11708131970500,"churi OF000378",260,380,"Home Plus Own Collection",0,0
743,8901023006241,"Cinthol Confidance+ 100gm",30,35,"Godrej Household Products BD Pvt  L",0,0
744,8901023004599,"Cinthol cool soap 100gm",34,38,"Godrej Household Products BD Pvt  L",0,0
745,8901023009990,"Cinthol Lime soap 100gm",30.5,35,"Godrej Household Products BD Pvt  L",0,0
746,8139003000846,"CIRTUS BURST AIR FRESHENER 300ML",178,200,"ACI Limited",0,0
747,4966006866131,"Citychen Plus MX-412c",90,120,"M A Marketing",0,0
748,6954957309287,"CityOne CT-928",230,300,"M A Marketing",0,0
749,6952318500410,"CityPlus CT-222N-VC",90,125,"M A Marketing",0,0
750,6952318507402,"CityPlus CT-740Li",170,250,"M A Marketing",0,0
751,8941100648445,"Clare A.D anti hair fall shampoo 375ml",273.17,310,Uniliver,0,0
752,8420701708760,"Clariss Almond Oil B P 70ml",120,150,"BRAND CONNECT",0,0
753,3587925336805,"Clariss Cocktail Air Freshener 300ml",192,240,"Pearl International",0,0
754,3587925344626,"Clariss Dark Fantasy Air Freshener 300ml e",200,240,"BRAND CONNECT",0,0
755,3587925336812,"Clariss Jasmine Air Freshener 300ml e",192,240,"BRAND CONNECT",0,0
756,3587925336829,"Clariss Lemon Air Freshener 300ml e",0,0,"BRAND CONNECT",0,0
757,8941128001604,"Classic Chocolate Coated Sandwich Biscuit",45,55,"GLOBE BISCUITS and DAIRY MI",0,0
758,11708091741800,"Classic Pour Homme Eau De Toilette Parfum 100ml",0,0,"Banijjo international",0,0
