"SL No.","UPC Code","Item Name","Company Name","Category Name","Purchase Price","Sale Price",Category,Offer,"Available Quantity"
1088,831730005634,"Pran Mustard Oil 100ml","Pran Company Ltd",Commodites,25,30,Commodites,0,22
1089,831730005498,"Pran Mustard Oil 200ml","Pran Company Ltd",Commodites,42,50,Commodites,0,21
1090,841165107223,"Pran Mustard Oil 1Litre","Pran Company Ltd",Commodites,210,220,Commodites,0,7
1091,8941052022447,"Meizan Plam Oil 1L",,Commodites,83,88,Commodites,0,24
1092,8007150900015,"Olitalia Fiord Olio 1L","FAIR DISTRIBUTION LTD",Commodites,232,250,Commodites,0,7
1093,7150203040044,"White Gold Fortified Oil 1L","ACI Limited",Commodites,112,125,Commodites,0,4
1094,8153003000507,"ACI Nutrilife Rice Bran Oil 2L","ACI Limited",Commodites,215,250,Commodites,0,2
1095,811486166018,"Teer Pure Mustard Oil 100ml","Teer Oil LTD",Commodites,21,26,Commodites,0,6
1096,811486166025,"Teer Pure Mustard Oil 250ml","Teer Oil LTD",Commodites,52,60,Commodites,0,9
1097,8691313010248,"Orkide Sunflower Oil 1L",,Commodites,220,250,Commodites,0,2
1098,811486166056,"Teer Pure Mustardd Oil 500ml","Teer Oil LTD",Commodites,95,110,Commodites,0,3
1099,7150203040068,"White Gold Fortified RIce Bran Oil 2L",,Commodites,215,235,Commodites,0,4
1100,715020303023,"White Gold Fortified RIce Bran Oil 5L",,Commodites,600,670,Commodites,0,2
1101,8007150903504,"Olitalia Fortified Sunflower Oil 2L","FAIR DISTRIBUTION LTD",Commodites,460,495,Commodites,0,6
1102,657738000484,"Olitalia Olive OIl 500ml",,Commodites,385,430,Commodites,0,2
1103,8420701103510,"RS Rafael Salgado 1 Litre","Pearl International",Commodites,545,680,Commodites,0,6
1104,8007150901784,"Olitalia Vergin Olive Oil 250ml ","FAIR DISTRIBUTION LTD",Commodites,225,250,Commodites,0,2
1105,8410179100012,"Borges Extra Virgin Olive Oil 1Litre","Q  Q TRADING LTD",Commodites,665,770,Commodites,0,2
1106,8153003000699,"ACI Pure Fortified Soyabean Oil 5Litre","ACI Limited",Commodites,495,530,Commodites,0,5
1107,8906007280716,"Fortune Fortified Rice Bran Oil 5L","Bangladesh Adibol Oil Ltd",Commodites,589,725,Commodites,0,6
1108,7150203040020,"White Gold Fortified Rice Rran Oil 5 Litre","Roshid Oil Mills LTD",Commodites,520,580,Commodites,0,2
1109,8301100201055,"Fresh Fortified Soyabean Oil 5L","Meghna Group of Industries",Commodites,500,540,Commodites,0,1
1110,7150203040037,"White Gold Fortified Rice Bran Oil 8 Litre","Roshid Oil Mills LTD",Resturant,820,905,Resturant,0,2
1111,812546159230,"Teer 5 liter","Teer Oil LTD",Commodites,500,540,Commodites,0,5
