"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1119,8853976005867,"Yoko Argan Oil Eye Cream 15g","Eye Gel",210,280,,0,0
1120,8853976005744,"Yoko Argan oil Hair Treatment 250ml","Hair Treatment",260,300,,146,146
1121,8853976005874,"Yoko Argan Oil Leav on Serum 100ml","Hair Serum",250,350,,116,116
1122,11804129970000,"YOKO AVOCADO SHAMPOO 500ml",Shampoo,400,600,,24,24
1123,11804121000000,"YOKO BATH TIME GIFT SET 880ml","Body Wash",0,0,,0,0
1124,"8853976005812 8853976004938 8853976004242     ","Yoko Body Butter Cream 200ml","Body Scrub",250,300,,12,12
1125,8853976004310,"Yoko Cold Cream 50ml",Cream,160,250,,84,84
1126,"8853976004402 8853976000299      ","Yoko Eye Gel 20gm","Eye Gel",220,250,,36,36
1127,8853976004495,"Yoko Facial Fade Cream 50ml",Cream,180,280,,0,0
1128,11804129930000,"YOKO FLORAL HERBAL SOAP 80g",Soap,80,200,,272,272
1129,11804129890000,"YOKO GENTLEMAN CREAM 4g",Cream,28,80,,128,128
1130,11804129900000,"YOKO GOAT MILK WHITENING CREAM 4g",Cream,28,80,,71,71
1131,11804129980000,"YOKO GOLD DEEP INTENSIVE  HAIR MASK 250ml","Hair Treatment",220,300,,23,23
1132,11804129990000,"YOKO HAIR SPA MILKY RICH 200ml","Hair Treatment",320,400,,0,0
1133,11804129960000,"YOKO HAIR SPA MILKY SHAMPOO 500ml",Shampoo,400,600,,5,5
1134,8853976005928,"Yoko Herbal Paste 40g","Baby Toothpaste",80,90,,18,18
1135,8853976004051,"Yoko Herbal Soap Box",Soap,110,160,,132,132
1136,8853976004419,"Yoko Milk Day/Night Cream 50ml",Cream,160,260,,12,12
1137,8853976000428,"Yoko Milk Soap 100ml",Soap,90,110,,404,404
1138,8853976004457,"Yoko MIlk Soap 100ml Box",Soap,90,110,,6,6
1139,11804129940000,"YOKO ORGANIC HERBAL SOAP 80g",Soap,70,200,,113,113
1140,8853976004631,"Yoko Pomegranate Cream 30gm",Cream,180,280,,22,22
1141,8853976004983,"Yoko Q10 MIlk Cream 50ml",Cream,170,260,,8,8
1142,11804129910000,"YOKO REVIVAL SNAIL CREAM 50g",Cream,250,400,,86,86
1143,8853976005751,"Yoko Sakura Cream",Cream,350,380,,60,60
1144,11804129950000,"YOKO SPA SALT FOR ARMPIT & BIKINI AREA 220ml","Spa Salt Body Scrub",80,140,,0,0
1145,11804129920000,"YOKO THE BOUQUET FRAGRANCE FLORAL SOAP 80g",Soap,80,200,,239,239
1146,8853976004471,"Yoko Under Arm Cream 40ml",Cream,160,260,,300,300
1147,8853976006024,"Yoko Vit-C Brightening Face Mask 20g",Mask,300,350,,9,9
1148,11804129840000,"YOKO WHITENING Q10 CREAM 4g",Cream,28,80,,101,101
1149,1802112050000,"Yoko Yogurt Milk Cream 50ml",Cream,160,260,,0,0
1150,1802111300000,"Yuabo Comb",Comb,60,70,,182,182
1151,8998866102636,"Zact Paste 150gm",Toothpaste,120,150,,47,47
1152,11803319650000,"Zact Paste 190gm",Toothpaste,140,190,,788,788
1153,8850002009011,"Zact Paste Smokers 150gm",Toothpaste,160,190,,8,8
1154,11803109150000,"Zennlab  Toothbrush 903-7",Toothbrush,60,80,,1762,1762
